atom_list,T90
"13,22,24,27,28,29,30",453
"12,27,28,29,30",451
"23,26,27,29,30",700
"25,26,27,28,29",334
"12,24,28,29,30",443
"12,26,28,29,30",453
"23,24,26,27,30",700
"12,13,27,29,30",550
"12,20,23,24,25",800
"12,23,24,25,29",476
"12,13,25,27,30",700
"20,24,26,28,30",587
"22,24,25,27,30",532
"12,24,25,27,29",450
"20,23,25,29,30",497
"24,25,26,27,28",550
"22,26,28,29,30",530
"12,22,25,27,30",560
"12,25,27,29,30",451
"13,23,24,27,28",530
"13,23,27,28,29",450
"13,23,26,29,30",570
"13,20,25,27,30",495
"13,20,24,26,27",560
"23,24,25,27,29",489
"12,22,25,27,29",560
"13,23,26,28,30",530
"22,24,25,29,30",524
"12,13,24,27,28",520
"20,24,26,27,28",498
"13,24,26,27,30",530
"20,24,25,26,30",610
"12,13,22,24,27",520
"12,13,22,24,30",570
"12,13,22,28,30",580
"12,25,27,28,29",358
"12,20,27,29,30",474
"12,23,27,29,30",550
"12,24,27,29,30",529
"12,22,23,25,30",550
"12,20,23,25,30",560
"12,20,24,25,27,30",386
"12,13,24,26,30",530
"12,13,26,27,29",530
"12,20,24,25,30",468
"12,20,24,27,29",495
"12,20,24,29,30",508
"12,20,25,27,30",520
"12,22,27,28,30",520
"12,23,24,25,30",550
"12,23,24,29,30",530
"12,24,26,27,30",520
"12,24,27,28,38",510
"13,20,22,24,30",486
"13,20,23,27,30",520
"13,22,24,26,30",550
"13,22,25,29,30",530
"13,22,26,27,30",499
"12,23,25,26,30",536
"13,23,24,27,30",520
"13,23,25,28,30",510
"12,20,27,28,30",510
"13,25,26,28,30",510
"13,25,27,28,30",450
"13,25,27,29,30",438
"13,26,27,28,29",441
"20,23,25,27,29",477
"20,23,26,28,30",510
"22,23,24,27,30",520
"22,23,26,28,30",510
"22,25,26,29,30",520
"22,25,27,28,30",548
"22,26,27,29,30",520
"24,25,27,29,30",365
"25,26,27,28,30",506
"12,20,27,28,29,30",443
"12,20,27,28,30,13",510
"13,20,24,28,29,30",466
"23,24,26,27,29,30",520
"12,23,24,27,28,29,30",510
"13,20,24,25,28,29,30",335
"12,20,23,25,29,30",526
"12,24,25,26,27,29,30,38",403
"12,22,23,24,27,28,29,30",510
"12,20,23,24,25,26,27,29,30",530
"12,23,24,25,26,27,28,29,30",530
"20,23,24,25,26,27,28,29,30,38",533
"12,22,23,24,25,26,27,28,29,30",530
"12,20,23,24,25,26,27,28,29,30",540
"12,13,20,25,27,30",520
"12,13,22,23,24,30",570
"12,13,25,26,29,30",560
"12,13,25,28,29,30",465
"12,20,23,25,27,30",540
"12,20,24,27,29,30",468
"12,22,23,24,27,30",530
"12,22,23,26,27,29",456
"12,22,24,26,28,30",520
"12,23,25,26,28,30",520
"12,23,26,27,28,29",501
"12,23,26,28,29,30",487
"12,13,23,29,30",515
"12,23,24,25,26,27",510
"12,13,24,25,29",513
"12,23,24,27,30",520
