atom_list,tag
"12,13,20,22,23",None
"12,13,20,22,24",None
"12,13,20,22,25",KS
"12,13,20,22,26",None
"12,13,20,22,27",None
"12,13,20,22,28",None
"12,13,20,22,29",None
"12,13,20,22,30",None
"12,13,20,22,38",None
"12,13,20,22,56",None
"12,13,20,23,24",KS
"12,13,20,23,25",KS
"12,13,20,23,26",None
"12,13,20,23,27",None
"12,13,20,23,28",None
"12,13,20,23,29",None
"12,13,20,23,30",None
"12,13,20,23,38",None
"12,13,20,23,56",None
"12,13,20,24,25",KS
"12,13,20,24,26",None
"12,13,20,24,27",None
"12,13,20,24,28",None
"12,13,20,24,29",None
"12,13,20,24,30",None
"12,13,20,24,38",None
"12,13,20,24,56",None
"12,13,20,25,26",None
"12,13,20,25,27",KS
"12,13,20,25,28",None
"12,13,20,25,29",None
"12,13,20,25,30",KS
"12,13,20,25,38",None
"12,13,20,25,56",None
"12,13,20,26,27",None
"12,13,20,26,28",None
"12,13,20,26,29",None
"12,13,20,26,30",None
"12,13,20,26,38",None
"12,13,20,26,56",None
"12,13,20,27,28",None
"12,13,20,27,29",None
"12,13,20,27,30",None
"12,13,20,27,38",None
"12,13,20,27,56",None
"12,13,20,28,29",None
"12,13,20,28,30",None
"12,13,20,28,38",None
"12,13,20,28,56",None
"12,13,20,29,30",None
"12,13,20,29,38",KS
"12,13,20,29,56",None
"12,13,20,30,38",None
"12,13,20,30,56",None
"12,13,20,38,56",None
"12,13,22,23,24",None
"12,13,22,23,25",None
"12,13,22,23,26",None
"12,13,22,23,27",None
"12,13,22,23,28",None
"12,13,22,23,29",None
"12,13,22,23,30",None
"12,13,22,23,38",None
"12,13,22,23,56",None
"12,13,22,24,25",None
"12,13,22,24,26",None
"12,13,22,24,27",KS
"12,13,22,24,28",None
"12,13,22,24,29",None
"12,13,22,24,30",KS
"12,13,22,24,38",None
"12,13,22,24,56",None
"12,13,22,25,26",None
"12,13,22,25,27",KS
"12,13,22,25,28",None
"12,13,22,25,29",None
"12,13,22,25,30",KS
"12,13,22,25,38",None
"12,13,22,25,56",None
"12,13,22,26,27",None
"12,13,22,26,28",None
"12,13,22,26,29",None
"12,13,22,26,30",None
"12,13,22,26,38",None
"12,13,22,26,56",None
"12,13,22,27,28",None
"12,13,22,27,29",KS
"12,13,22,27,30",None
"12,13,22,27,38",None
"12,13,22,27,56",None
"12,13,22,28,29",None
"12,13,22,28,30",KS
"12,13,22,28,38",None
"12,13,22,28,56",None
"12,13,22,29,30",None
"12,13,22,29,38",KS
"12,13,22,29,56",None
"12,13,22,30,38",None
"12,13,22,30,56",None
"12,13,22,38,56",None
"12,13,23,24,25",None
"12,13,23,24,26",KS
"12,13,23,24,27",None
"12,13,23,24,28",None
"12,13,23,24,29",None
"12,13,23,24,30",None
"12,13,23,24,38",None
"12,13,23,24,56",None
"12,13,23,25,26",None
"12,13,23,25,27",None
"12,13,23,25,28",None
"12,13,23,25,29",None
"12,13,23,25,30",None
"12,13,23,25,38",None
"12,13,23,25,56",None
"12,13,23,26,27",None
"12,13,23,26,28",KS
"12,13,23,26,29",None
"12,13,23,26,30",None
"12,13,23,26,38",None
"12,13,23,26,56",None
"12,13,23,27,28",None
"12,13,23,27,29",None
"12,13,23,27,30",None
"12,13,23,27,38",None
"12,13,23,27,56",None
"12,13,23,28,29",None
"12,13,23,28,30",None
"12,13,23,28,38",None
"12,13,23,28,56",None
"12,13,23,29,30",KS
"12,13,23,29,38",None
"12,13,23,29,56",None
"12,13,23,30,38",None
"12,13,23,30,56",None
"12,13,23,38,56",KS
"12,13,24,25,26",None
"12,13,24,25,27",None
"12,13,24,25,28",None
"12,13,24,25,29",KS
"12,13,24,25,30",None
"12,13,24,25,38",KS
"12,13,24,25,56",None
"12,13,24,26,27",None
"12,13,24,26,28",None
"12,13,24,26,29",None
"12,13,24,26,30",KS
"12,13,24,26,38",None
"12,13,24,26,56",None
"12,13,24,27,28",None
"12,13,24,27,29",None
"12,13,24,27,30",None
"12,13,24,27,38",None
"12,13,24,27,56",None
"12,13,24,28,29",None
"12,13,24,28,30",None
"12,13,24,28,38",None
"12,13,24,28,56",None
"12,13,24,29,30",None
"12,13,24,29,38",None
"12,13,24,29,56",None
"12,13,24,30,38",None
"12,13,24,30,56",None
"12,13,24,38,56",None
"12,13,25,26,27",KS
"12,13,25,26,28",None
"12,13,25,26,29",None
"12,13,25,26,30",None
"12,13,25,26,38",None
"12,13,25,26,56",None
"12,13,25,27,28",None
"12,13,25,27,29",None
"12,13,25,27,30",None
"12,13,25,27,38",None
"12,13,25,27,56",None
"12,13,25,28,29",KS
"12,13,25,28,30",None
"12,13,25,28,38",KS
"12,13,25,28,56",None
"12,13,25,29,30",KS
"12,13,25,29,38",None
"12,13,25,29,56",None
"12,13,25,30,38",None
"12,13,25,30,56",None
"12,13,25,38,56",None
"12,13,26,27,28",None
"12,13,26,27,29",KS
"12,13,26,27,30",None
