Mg,Al,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Sr,Ba,proba_0,proba_1,proba_2,T90_pred
0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.2000,0.0000,0.2000,0.2000,0.2000,0.0000,0.0000,0.0000,0.2024,0.0328,0.7648,319.8859
0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.2000,0.0000,0.0000,0.2000,0.2000,0.2000,0.0000,0.0000,0.0164,0.0036,0.9800,322.4699
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.2000,0.2000,0.2000,0.2000,0.0000,0.0000,0.0102,0.1470,0.8427,327.4174
0.0000,0.0000,0.0000,0.0000,0.0000,0.1667,0.1667,0.0000,0.1667,0.1667,0.1667,0.1667,0.0000,0.0000,0.0014,0.0179,0.9806,332.0864
0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.2000,0.2000,0.2000,0.0000,0.0000,0.4709,0.0178,0.5113,333.8493
0.0000,0.0000,0.1429,0.0000,0.0000,0.1429,0.1429,0.0000,0.1429,0.1429,0.1429,0.1429,0.0000,0.0000,0.0116,0.0089,0.9794,335.0692
0.0000,0.0000,0.1429,0.0000,0.0000,0.1429,0.1429,0.1429,0.0000,0.1429,0.1429,0.1429,0.0000,0.0000,0.0381,0.0014,0.9604,335.6825
0.0000,0.1429,0.0000,0.0000,0.0000,0.1429,0.1429,0.0000,0.1429,0.1429,0.1429,0.1429,0.0000,0.0000,0.0003,0.0002,0.9995,335.9382
0.0000,0.1429,0.0000,0.0000,0.0000,0.1429,0.1429,0.1429,0.0000,0.1429,0.1429,0.1429,0.0000,0.0000,0.0004,0.0001,0.9995,336.6998
0.0000,0.0000,0.0000,0.0000,0.0000,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.0000,0.0000,0.0002,0.0018,0.9980,337.2299
0.0000,0.0000,0.1667,0.0000,0.0000,0.1667,0.1667,0.0000,0.0000,0.1667,0.1667,0.1667,0.0000,0.0000,0.0483,0.0031,0.9486,337.4408
0.0000,0.0000,0.1667,0.0000,0.0000,0.0000,0.1667,0.0000,0.1667,0.1667,0.1667,0.1667,0.0000,0.0000,0.0366,0.6093,0.3542,337.8497
0.0000,0.1429,0.1429,0.0000,0.0000,0.0000,0.1429,0.1429,0.0000,0.1429,0.1429,0.1429,0.0000,0.0000,0.3329,0.0018,0.6653,339.0259
0.0000,0.1429,0.1429,0.0000,0.0000,0.0000,0.1429,0.0000,0.1429,0.1429,0.1429,0.1429,0.0000,0.0000,0.1502,0.0038,0.8460,339.1122
0.0000,0.0000,0.1429,0.0000,0.0000,0.0000,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.0000,0.0000,0.3147,0.1286,0.5567,339.2444
